año,provincia,distrito,n,poblacion,tasa_100K
2024,LIMA,SAN JUAN DE LURIGANCHO,34,1269361,2.6785130471158323
2024,LIMA,SAN JUAN DE MIRAFLORES,15,428766,3.4984117210786305
2024,LIMA,SAN MARTIN DE PORRES,12,794838,1.5097416077238381
2024,LIMA,SAN MIGUEL,2,183091,1.0923529829429082
2024,LIMA,SANTA ROSA,1,43685,2.2891152569531874
2024,LIMA,SANTIAGO DE SURCO,2,423958,0.4717448426495077
2024,LIMA,VILLA EL SALVADOR,14,441481,3.1711443980601657
2024,LIMA,VILLA MARIA DEL TRIUNFO,10,476875,2.0969855832241153
2025,CALLAO,BELLAVISTA,31,94864,32.67836060043852
2025,CALLAO,CALLAO,13,550090,2.3632496500572633
2025,CALLAO,CARMEN DE LA LEGUA REYNOSO,2,50257,3.9795451379907276
2025,CALLAO,LA PERLA,3,71105,4.219112579987343
2025,CALLAO,VENTANILLA,22,399833,5.502297209084793
2025,LIMA,ANCON,1,96400,1.037344398340249
2025,LIMA,ATE,6,727548,0.8246878556466377
2025,LIMA,BREÑA,1,104430,0.9575792396820837
2025,LIMA,CARABAYLLO,3,429022,0.699264839565337
2025,LIMA,CHORRILLOS,3,374777,0.8004760164044218
2025,LIMA,COMAS,13,609647,2.132381525702579
2025,LIMA,EL AGUSTINO,9,228711,3.9350971313141914
2025,LIMA,INDEPENDENCIA,1,228739,0.4371794927843525
2025,LIMA,JESUS MARIA,1,98813,1.0120125894366125
2025,LIMA,LA MOLINA,2,171476,1.1663439781660407
2025,LIMA,LA VICTORIA,2,188805,1.0592939805619555
2025,LIMA,LIMA,14,269361,5.197485901819491
2025,LIMA,LOS OLIVOS,1,370789,0.2696951635566319
2025,LIMA,LURIGANCHO,6,310169,1.9344292949972435
2025,LIMA,LURIN,1,112788,0.8866191438805546
2025,LIMA,MIRAFLORES,1,122811,0.8142593090195503
2025,LIMA,PACHACAMAC,5,154448,3.2373355433543978
2025,LIMA,PUEBLO LIBRE,1,103257,0.9684573442962705
2025,LIMA,PUENTE PIEDRA,8,418717,1.9105983277488137
2025,LIMA,RIMAC,2,185850,1.0761366693570082
2025,LIMA,SAN JUAN DE LURIGANCHO,11,1296154,0.8486645876955979
2025,LIMA,SAN JUAN DE MIRAFLORES,11,435430,2.526238430976276
2025,LIMA,SAN LUIS,2,64227,3.113955190184813
2025,LIMA,SAN MARTIN DE PORRES,16,809585,1.9763212016032905
2025,LIMA,SAN MIGUEL,3,189349,1.5843759407232147
2025,LIMA,SANTA ANITA,1,243039,0.41145659750081265
2025,LIMA,SANTA ROSA,1,44464,2.24901043540842
2025,LIMA,VILLA EL SALVADOR,6,448698,1.3372023053367743
2025,LIMA,VILLA MARIA DEL TRIUNFO,3,491837,0.6099581772009832
